Company Name,BSE Code,NSE Symbol,Latest Market Cap,Industry
Electrosteel Castings Ltd.,500128,ELECTCAST," ? 7,720.51 ",Steel & Iron Products
Mahindra Lifespace Developers Ltd.,532313,MAHLIFE," ? 7,717.72 ",Construction - Real Estate
Equitas Small Finance Bank Ltd.,543243,EQUITASBNK," ? 7,714.15 ",Bank - Private
Symphony Ltd.,517385,SYMPHONY," ? 7,680.90 ",Consumer Durables - Domestic Appliances
Strides Pharma Science Ltd.,532531,STAR," ? 7,648.58 ",Pharmaceuticals & Drugs
Archean Chemical Industries Ltd.,543657,ACI," ? 7,648.20 ",Chemicals
Sandur Manganese & Iron Ores Ltd.,504918,SANDUMA," ? 7,608.35 ",Mining & Minerals
Thomas Cook (India) Ltd.,500413,THOMASCOOK," ? 7,507.55 ",Travel Services
Healthcare Global Enterprises Ltd.,539787,HCG," ? 7,505.43 ",Hospital & Healthcare Services
Mastek Ltd.,523704,MASTEK," ? 7,504.79 ",IT - Software
Surya Roshni Ltd.,500336,SURYAROSNI," ? 7,480.87 ",Steel & Iron Products
Religare Enterprises Ltd.,532915,RELIGARE," ? 7,463.85 ",Finance - Investment
The Karnataka Bank Ltd.,532652,KTKBANK," ? 7,437.28 ",Bank - Private
Sterling and Wilson Renewable Energy Ltd.,542760,SWSOLAR," ? 7,414.61 ",Engineering - Construction
Prism Johnson Ltd.,500338,PRSMJOHNSN," ? 7,414.44 ",Cement & Construction Materials
Welspun Enterprises Ltd.,532553,WELENT," ? 7,344.27 ",Construction - Real Estate
Diamond Power Infrastructure Ltd.,522163,DIACABS," ? 7,283.27 ",Cable
TV18 Broadcast Ltd.,532800,TV18BRDCST," ? 7,270.60 ",TV Broadcasting & Software Production
Sharda Cropchem Ltd.,538666,SHARDACROP," ? 7,265.46 ",Pesticides & Agrochemicals
Technocraft Industries (India) Ltd.,532804,TIIL," ? 7,254.84 ",Steel & Iron Products
Ajax Engineering Ltd.,544356,AJAXENGG," ? 7,231.65 ",Engineering - Industrial Equipments
Redtape Ltd.,543957,REDTAPE," ? 7,224.09 ",Retailing
Max Estates Ltd.,544008,MAXESTATES," ? 7,182.77 ",Construction - Real Estate
Pearl Global Industries Ltd.,532808,PGIL," ? 7,155.84 ",Textile
Ethos Ltd.,543532,ETHOSLTD," ? 7,150.73 ",Retailing
Tamilnad Mercantile Bank Ltd.,543596,TMB," ? 7,135.32 ",Bank - Private
H.G. Infra Engineering Ltd.,541019,HGINFRA," ? 7,071.07 ",Engineering - Construction
Texmaco Rail & Engineering Ltd.,533326,TEXRAIL," ? 7,069.37 ",Railways Wagons
Man InfraConstruction Ltd.,533169,MANINFRA," ? 6,993.70 ",Engineering - Construction
Puravankara Ltd.,532891,PURVA," ? 6,961.53 ",Construction - Real Estate
Chemplast Sanmar Ltd.,543336,CHEMPLASTS," ? 6,943.38 ",Chemicals
Tilaknagar Industries Ltd.,507205,TI," ? 6,912.73 ",Breweries & Distilleries
Mahindra Holidays & Resorts India Ltd.,533088,MHRIL," ? 6,885.06 ","Hotel, Resort & Restaurants"
Le Travenues Technology Ltd.,544192,IXIGO," ? 6,869.53 ",Travel Services
Ahluwalia Contracts (India) Ltd.,532811,AHLUCONT," ? 6,795.89 ",Construction - Real Estate
V-Mart Retail Ltd.,534976,VMART," ? 6,761.46 ",Retailing
CSB Bank Ltd.,542867,CSBBANK," ? 6,720.40 ",Bank - Private
Gokaldas Exports Ltd.,532630,GOKEX," ? 6,709.27 ",Textile
Unimech Aerospace and Manufacturing Ltd.,544322,UNIMECH," ? 6,677.51 ",Defence
Ion Exchange (India) Ltd.,500214,IONEXCHANG," ? 6,664.67 ",Environmental Services
Shree Renuka Sugars Ltd.,532670,RENUKA," ? 6,655.79 ",Sugar
Borosil Renewables Ltd.,502219,BORORENEW," ? 6,579.36 ",Glass
Paras Defence And Space Technologies Ltd.,543367,PARAS," ? 6,557.39 ",Defence
ICRA Ltd.,532835,ICRA," ? 6,539.57 ",Ratings
Suprajit Engineering Ltd.,532509,SUPRAJIT," ? 6,512.40 ",Auto Ancillary
Kovai Medical Center & Hospital Ltd.,523323,KOVAI," ? 6,510.92 ",Hospital & Healthcare Services
Juniper Hotels Ltd.,544129,JUNIPER," ? 6,485.95 ","Hotel, Resort & Restaurants"
Sunteck Realty Ltd.,512179,SUNTECK," ? 6,436.00 ",Construction - Real Estate
Hindustan Foods Ltd.,519126,HNDFDS," ? 6,432.30 ",Consumer Food
Arvind Fashions Ltd.,542484,ARVINDFASN," ? 6,430.52 ",Retailing
Apollo Micro Systems Ltd.,540879,APOLLO," ? 6,396.15 ",Electronics - Components
V2 Retail Ltd.,532867,V2RETAIL," ? 6,372.69 ",Retailing
eMudhra Ltd.,543533,EMUDHRA," ? 6,370.29 ",IT - Software
Rallis India Ltd.,500355,RALLIS," ? 6,348.44 ",Pesticides & Agrochemicals
IFB Industries Ltd.,505726,IFBIND," ? 6,315.26 ",Consumer Durables - Electronics
Responsive Industries Ltd.,505509,RESPONIND," ? 6,286.10 ",Plastic Products
India Glycols Ltd.,500201,INDIAGLYCO," ? 6,278.37 ",Chemicals
JK Paper Ltd.,532162,JKPAPER," ? 6,268.73 ",Paper & Paper Products
Route Mobile Ltd.,543228,ROUTE," ? 6,202.43 ",IT - Software
Subros Ltd.,517168,SUBROS," ? 6,201.64 ",Auto Ancillary
Gulf Oil Lubricants India Ltd.,538567,GULFOILLUB," ? 6,198.06 ",Lubricants
KNR Constructions Ltd.,532942,KNRCON," ? 6,175.91 ",Engineering - Construction
Axiscades Technologies Ltd.,532395,AXISCADES," ? 6,133.26 ",IT - Software
Greenlam Industries Ltd.,538979,GREENLAM," ? 6,089.36 ",Laminates/Decoratives
Bansal Wire Industries Ltd.,544209,BANSALWIRE," ? 6,089.24 ",Steel & Iron Products
Ashoka Buildcon Ltd.,533271,ASHOKA," ? 6,085.24 ",Engineering - Construction
Pilani Investment And Industries Corporation Ltd.,539883,PILANIINVS," ? 6,069.81 ",Finance - Investment
VIP Industries Ltd.,507880,VIPIND," ? 6,044.36 ",Household & Personal Products
Shilchar Technologies Ltd.,531201,," ? 6,041.91 ",Electric Equipment
Rajesh Exports Ltd.,531500,RAJESHEXPO," ? 5,975.77 ",Diamond  &  Jewellery
Kaveri Seed Company Ltd.,532899,KSCL," ? 5,916.15 ",Agriculture
Balaji Amines Ltd.,530999,BALAMINES," ? 5,913.18 ",Chemicals
GHCL Ltd.,500171,GHCL," ? 5,912.76 ",Chemicals
Insolation Energy Ltd.,543620,," ? 5,902.99 ",Electronics - Components
